Time,sensor_mo.mean,Date,StudentID,TimePeriod
28/10/2024 15:35,1,28-10-2024,S4,3
28/10/2024 15:40,1,28-10-2024,S4,3
28/10/2024 15:45,1,28-10-2024,S4,3
28/10/2024 15:50,1,28-10-2024,S4,3
28/10/2024 15:55,1,28-10-2024,S4,3
28/10/2024 16:00,1,28-10-2024,S4,3
28/10/2024 14:00,1,28-10-2024,S5,3
28/10/2024 14:05,0,28-10-2024,S5,3
28/10/2024 14:10,0,28-10-2024,S5,3
28/10/2024 14:15,1,28-10-2024,S5,3
28/10/2024 14:20,1,28-10-2024,S5,3
28/10/2024 14:25,1,28-10-2024,S5,3
28/10/2024 14:30,1,28-10-2024,S5,3
28/10/2024 14:35,0,28-10-2024,S5,3
28/10/2024 14:40,1,28-10-2024,S5,3
28/10/2024 14:45,1,28-10-2024,S5,3
28/10/2024 14:50,1,28-10-2024,S5,3
28/10/2024 14:55,0,28-10-2024,S5,3
28/10/2024 15:00,1,28-10-2024,S5,3
28/10/2024 15:05,1,28-10-2024,S5,3
28/10/2024 15:10,0,28-10-2024,S5,3
28/10/2024 15:15,1,28-10-2024,S5,3
28/10/2024 15:20,1,28-10-2024,S5,3
28/10/2024 15:25,1,28-10-2024,S5,3
28/10/2024 15:30,0,28-10-2024,S5,3
28/10/2024 15:35,0,28-10-2024,S5,3
28/10/2024 15:40,1,28-10-2024,S5,3
28/10/2024 15:45,0,28-10-2024,S5,3
28/10/2024 15:50,1,28-10-2024,S5,3
28/10/2024 15:55,0,28-10-2024,S5,3
28/10/2024 16:00,1,28-10-2024,S5,3
28/10/2024 14:00,1,28-10-2024,S6,3
28/10/2024 14:05,1,28-10-2024,S6,3
28/10/2024 14:10,0,28-10-2024,S6,3
28/10/2024 14:15,1,28-10-2024,S6,3
28/10/2024 14:20,1,28-10-2024,S6,3
28/10/2024 14:25,0,28-10-2024,S6,3
28/10/2024 14:30,1,28-10-2024,S6,3
28/10/2024 14:35,0,28-10-2024,S6,3
28/10/2024 14:40,0,28-10-2024,S6,3
28/10/2024 14:45,1,28-10-2024,S6,3
28/10/2024 14:50,1,28-10-2024,S6,3
28/10/2024 14:55,1,28-10-2024,S6,3
28/10/2024 15:00,1,28-10-2024,S6,3
28/10/2024 15:05,1,28-10-2024,S6,3
28/10/2024 15:10,0,28-10-2024,S6,3
28/10/2024 15:15,0,28-10-2024,S6,3
28/10/2024 15:20,1,28-10-2024,S6,3
28/10/2024 15:25,1,28-10-2024,S6,3
28/10/2024 15:30,1,28-10-2024,S6,3
28/10/2024 15:35,1,28-10-2024,S6,3
28/10/2024 15:40,0,28-10-2024,S6,3
28/10/2024 15:45,1,28-10-2024,S6,3
28/10/2024 15:50,0,28-10-2024,S6,3
28/10/2024 15:55,1,28-10-2024,S6,3
28/10/2024 16:00,1,28-10-2024,S6,3
30/09/2024 14:00,1,30-09-2024,S1,3
30/09/2024 14:05,1,30-09-2024,S1,3
30/09/2024 14:10,0,30-09-2024,S1,3
30/09/2024 14:15,0,30-09-2024,S1,3
30/09/2024 14:20,0,30-09-2024,S1,3
30/09/2024 14:25,1,30-09-2024,S1,3
30/09/2024 14:30,1,30-09-2024,S1,3
30/09/2024 14:35,1,30-09-2024,S1,3
30/09/2024 14:40,1,30-09-2024,S1,3
30/09/2024 14:45,0,30-09-2024,S1,3
30/09/2024 14:50,1,30-09-2024,S1,3
30/09/2024 14:55,1,30-09-2024,S1,3
30/09/2024 15:00,1,30-09-2024,S1,3
30/09/2024 15:05,1,30-09-2024,S1,3
30/09/2024 15:10,1,30-09-2024,S1,3
30/09/2024 15:15,1,30-09-2024,S1,3
30/09/2024 15:20,0,30-09-2024,S1,3
30/09/2024 15:25,0,30-09-2024,S1,3
30/09/2024 15:30,0,30-09-2024,S1,3
30/09/2024 15:35,0,30-09-2024,S1,3
30/09/2024 15:40,1,30-09-2024,S1,3
30/09/2024 15:45,1,30-09-2024,S1,3
30/09/2024 15:50,1,30-09-2024,S1,3
30/09/2024 15:55,1,30-09-2024,S1,3
30/09/2024 16:00,1,30-09-2024,S1,3
30/09/2024 14:00,1,30-09-2024,S2,3
30/09/2024 14:05,1,30-09-2024,S2,3
30/09/2024 14:10,1,30-09-2024,S2,3
30/09/2024 14:15,1,30-09-2024,S2,3
30/09/2024 14:20,0,30-09-2024,S2,3
30/09/2024 14:25,1,30-09-2024,S2,3
30/09/2024 14:30,0,30-09-2024,S2,3
30/09/2024 14:35,1,30-09-2024,S2,3
30/09/2024 14:40,1,30-09-2024,S2,3
30/09/2024 14:45,1,30-09-2024,S2,3
30/09/2024 14:50,1,30-09-2024,S2,3
30/09/2024 14:55,1,30-09-2024,S2,3
30/09/2024 15:00,1,30-09-2024,S2,3
30/09/2024 15:05,1,30-09-2024,S2,3
30/09/2024 15:10,1,30-09-2024,S2,3
30/09/2024 15:15,1,30-09-2024,S2,3
30/09/2024 15:20,1,30-09-2024,S2,3
30/09/2024 15:25,0,30-09-2024,S2,3
30/09/2024 15:30,1,30-09-2024,S2,3
30/09/2024 15:35,1,30-09-2024,S2,3
30/09/2024 15:40,0,30-09-2024,S2,3
30/09/2024 15:45,1,30-09-2024,S2,3
30/09/2024 15:50,1,30-09-2024,S2,3
30/09/2024 15:55,1,30-09-2024,S2,3
30/09/2024 16:00,1,30-09-2024,S2,3
30/09/2024 14:00,1,30-09-2024,S3,3
30/09/2024 14:05,1,30-09-2024,S3,3
30/09/2024 14:10,1,30-09-2024,S3,3
30/09/2024 14:15,1,30-09-2024,S3,3
30/09/2024 14:20,0,30-09-2024,S3,3
30/09/2024 14:25,0,30-09-2024,S3,3
30/09/2024 14:30,1,30-09-2024,S3,3
30/09/2024 14:35,1,30-09-2024,S3,3
30/09/2024 14:40,1,30-09-2024,S3,3
30/09/2024 14:45,1,30-09-2024,S3,3
30/09/2024 14:50,0,30-09-2024,S3,3
30/09/2024 14:55,1,30-09-2024,S3,3
30/09/2024 15:00,0,30-09-2024,S3,3
30/09/2024 15:05,1,30-09-2024,S3,3
30/09/2024 15:10,1,30-09-2024,S3,3
30/09/2024 15:15,1,30-09-2024,S3,3
30/09/2024 15:20,1,30-09-2024,S3,3
30/09/2024 15:25,1,30-09-2024,S3,3
30/09/2024 15:30,1,30-09-2024,S3,3
30/09/2024 15:35,1,30-09-2024,S3,3
30/09/2024 15:40,1,30-09-2024,S3,3
30/09/2024 15:45,1,30-09-2024,S3,3
30/09/2024 15:50,1,30-09-2024,S3,3
30/09/2024 15:55,1,30-09-2024,S3,3
30/09/2024 16:00,0,30-09-2024,S3,3
30/09/2024 14:00,1,30-09-2024,S4,3
30/09/2024 14:05,1,30-09-2024,S4,3
30/09/2024 14:10,1,30-09-2024,S4,3
30/09/2024 14:15,1,30-09-2024,S4,3
30/09/2024 14:20,1,30-09-2024,S4,3
30/09/2024 14:25,0,30-09-2024,S4,3
30/09/2024 14:30,0,30-09-2024,S4,3
30/09/2024 14:35,1,30-09-2024,S4,3
30/09/2024 14:40,0,30-09-2024,S4,3
30/09/2024 14:45,1,30-09-2024,S4,3
30/09/2024 14:50,0,30-09-2024,S4,3
30/09/2024 14:55,1,30-09-2024,S4,3
30/09/2024 15:00,1,30-09-2024,S4,3
30/09/2024 15:05,1,30-09-2024,S4,3
30/09/2024 15:10,1,30-09-2024,S4,3
30/09/2024 15:15,1,30-09-2024,S4,3
30/09/2024 15:20,0,30-09-2024,S4,3
30/09/2024 15:25,1,30-09-2024,S4,3
30/09/2024 15:30,1,30-09-2024,S4,3
30/09/2024 15:35,0,30-09-2024,S4,3
30/09/2024 15:40,1,30-09-2024,S4,3
30/09/2024 15:45,1,30-09-2024,S4,3
30/09/2024 15:50,1,30-09-2024,S4,3
30/09/2024 15:55,1,30-09-2024,S4,3
30/09/2024 16:00,1,30-09-2024,S4,3
30/09/2024 14:00,0,30-09-2024,S5,3
30/09/2024 14:05,0,30-09-2024,S5,3
30/09/2024 14:10,0,30-09-2024,S5,3
30/09/2024 14:15,0,30-09-2024,S5,3
30/09/2024 14:20,1,30-09-2024,S5,3
30/09/2024 14:25,1,30-09-2024,S5,3
30/09/2024 14:30,1,30-09-2024,S5,3
30/09/2024 14:35,1,30-09-2024,S5,3
30/09/2024 14:40,1,30-09-2024,S5,3
30/09/2024 14:45,1,30-09-2024,S5,3
30/09/2024 14:50,1,30-09-2024,S5,3
30/09/2024 14:55,1,30-09-2024,S5,3
30/09/2024 15:00,0,30-09-2024,S5,3
30/09/2024 15:05,1,30-09-2024,S5,3
30/09/2024 15:10,0,30-09-2024,S5,3
30/09/2024 15:15,0,30-09-2024,S5,3
30/09/2024 15:20,1,30-09-2024,S5,3
30/09/2024 15:25,1,30-09-2024,S5,3
30/09/2024 15:30,1,30-09-2024,S5,3
30/09/2024 15:35,1,30-09-2024,S5,3
30/09/2024 15:40,1,30-09-2024,S5,3
30/09/2024 15:45,0,30-09-2024,S5,3
30/09/2024 15:50,1,30-09-2024,S5,3
30/09/2024 15:55,1,30-09-2024,S5,3
30/09/2024 16:00,1,30-09-2024,S5,3
30/09/2024 14:00,0,30-09-2024,S6,3
30/09/2024 14:05,1,30-09-2024,S6,3
30/09/2024 14:10,1,30-09-2024,S6,3
30/09/2024 14:15,1,30-09-2024,S6,3
30/09/2024 14:20,1,30-09-2024,S6,3
30/09/2024 14:25,1,30-09-2024,S6,3
30/09/2024 14:30,1,30-09-2024,S6,3
30/09/2024 14:35,1,30-09-2024,S6,3
30/09/2024 14:40,1,30-09-2024,S6,3
30/09/2024 14:45,1,30-09-2024,S6,3
30/09/2024 14:50,1,30-09-2024,S6,3
30/09/2024 14:55,1,30-09-2024,S6,3
