,room,day,period,startTime,endTime,status,attendance,semester,partOfDay
159,ATB211(26),3,6,14:00,15:00,1,1,1,2
160,ATB211(26),3,7,15:00,16:00,1,1,1,4
161,ATB211(26),3,8,16:00,17:00,1,1,1,3
162,ATB211(26),3,9,17:00,18:00,1,1,1,3
163,ATB211(26),3,10,18:00,19:00,1,0,1,4
164,ATB211(26),3,11,18:30,21:30,1,0,1,4
165,ATB211(26),4,1,9:00,10:00,1,1,1,1
166,ATB211(26),4,2,10:00,11:00,1,1,1,1
167,ATB211(26),4,3,11:00,12:00,1,1,1,1
168,ATB211(26),4,4,12:00,13:00,1,1,1,2
169,ATB211(26),4,5,13:00,14:00,0,0,1,2
170,ATB211(26),4,6,14:00,15:00,1,1,1,2
171,ATB211(26),4,7,15:00,16:00,1,0,1,4
172,ATB211(26),4,8,16:00,17:00,0,0,1,3
173,ATB211(26),4,9,17:00,18:00,0,0,1,3
174,ATB211(26),4,10,18:00,19:00,1,0,1,4
175,ATB211(26),4,11,18:30,21:30,1,1,1,4
176,ATB211(26),5,1,9:00,10:00,0,0,1,1
177,ATB211(26),5,2,10:00,11:00,1,1,1,1
178,ATB211(26),5,3,11:00,12:00,1,1,1,1
179,ATB211(26),5,4,12:00,13:00,1,1,1,2
180,ATB211(26),5,5,13:00,14:00,1,1,1,2
181,ATB211(26),5,6,14:00,15:00,1,1,1,2
182,ATB211(26),5,7,15:00,16:00,1,1,1,4
183,ATB211(26),5,8,16:00,17:00,1,1,1,3
184,ATB211(26),5,9,17:00,18:00,1,1,1,3
185,ATB211(26),5,10,18:00,19:00,0,0,1,4
186,ATB211(26),5,11,18:30,21:30,1,1,1,4
187,ATB211(26),6,1,9:00,10:00,0,0,1,1
188,ATB211(26),6,2,10:00,11:00,0,0,1,1
189,ATB211(26),6,3,11:00,12:00,0,0,1,1
190,ATB211(26),6,4,12:00,13:00,1,1,1,2
191,ATB211(26),6,5,13:00,14:00,0,0,1,2
192,ATB211(26),6,6,14:00,15:00,0,0,1,2
193,ATB211(26),6,7,15:00,16:00,0,0,1,4
194,ATB211(26),6,8,16:00,17:00,0,0,1,3
195,ATB211(26),6,9,17:00,18:00,1,1,1,3
196,ATB211(26),6,10,18:00,19:00,0,0,1,4
197,ATB211(26),6,11,18:30,21:30,0,0,1,4
198,ATB212 (25) CL,1,1,9:00,10:00,1,0,1,1
199,ATB212 (25) CL,1,2,10:00,11:00,1,1,1,1
200,ATB212 (25) CL,1,3,11:00,12:00,1,1,1,1
201,ATB212 (25) CL,1,4,12:00,13:00,1,1,1,2
202,ATB212 (25) CL,1,5,13:00,14:00,0,0,1,2
203,ATB212 (25) CL,1,6,14:00,15:00,0,0,1,2
204,ATB212 (25) CL,1,7,15:00,16:00,0,0,1,4
205,ATB212 (25) CL,1,8,16:00,17:00,0,0,1,3
206,ATB212 (25) CL,1,9,17:00,18:00,0,0,1,3
207,ATB212 (25) CL,1,10,18:00,19:00,0,0,1,4
